snapshot_id,snapshot_date,store_id,product_id,qty_on_hand,qty_reserved,qty_on_order,reorder_point
INV0000001,2025-12-19,STOR0044,PROD00084,33,25,34,57
INV0000002,2025-12-23,STOR0041,PROD00022,68,13,59,16
INV0000003,2025-12-05,STOR0049,PROD00245,121,5,139,113
INV0000004,2025-12-26,STOR0001,PROD00082,171,6,32,52
INV0000005,2025-12-10,STOR0045,PROD00040,548,2,151,31
INV0000006,2025-12-26,STOR0060,PROD00117,337,36,147,57
INV0000007,2025-12-23,STOR0002,PROD00116,49,35,184,33
INV0000008,2025-12-27,STOR0041,PROD00429,472,30,75,27
INV0000009,2025-12-30,STOR0032,PROD00499,439,48,93,47
INV0000010,2025-12-10,STOR0057,PROD00078,544,32,17,42
INV0000011,2025-12-13,STOR0055,PROD00417,708,32,82,80
INV0000012,2025-12-03,STOR0033,PROD00083,200,7,131,83
INV0000013,2025-12-25,STOR0050,PROD00494,647,9,141,115
INV0000014,2025-12-09,STOR0040,PROD00085,466,5,34,33
INV0000015,2025-12-07,STOR0037,PROD00374,590,48,46,105
INV0000016,2025-12-11,STOR0005,PROD00008,660,44,17,59
INV0000017,2025-12-09,STOR0055,PROD00297,438,38,91,46
INV0000018,2025-12-06,STOR0001,PROD00112,568,10,72,83
INV0000019,2025-12-06,STOR0013,PROD00272,526,21,91,104
INV0000020,2025-12-18,STOR0006,PROD00034,202,29,104,72
INV0000021,2025-12-06,STOR0025,PROD00230,362,44,87,115
INV0000022,2025-12-24,STOR0018,PROD00452,317,11,88,46
INV0000023,2025-12-14,STOR0030,PROD00250,540,23,154,101
INV0000024,2025-12-05,STOR0041,PROD00229,322,28,103,86
INV0000025,2025-12-06,STOR0031,PROD00302,638,2,112,19
INV0000026,2025-12-23,STOR0006,PROD00494,184,20,6,86
INV0000027,2025-12-03,STOR0001,PROD00008,212,4,45,64
INV0000028,2025-12-24,STOR0030,PROD00295,431,44,44,73
INV0000029,2025-12-24,STOR0003,PROD00258,634,4,122,19
INV0000030,2025-12-26,STOR0008,PROD00145,183,37,32,70
INV0000031,2025-12-25,STOR0052,PROD00153,679,34,118,76
INV0000032,2025-12-11,STOR0018,PROD00097,438,50,44,118
INV0000033,2025-12-05,STOR0060,PROD00413,404,5,13,32
INV0000034,2025-12-06,STOR0047,PROD00355,742,15,167,85
INV0000035,2025-12-11,STOR0014,PROD00095,557,50,187,62
INV0000036,2025-12-13,STOR0060,PROD00277,105,14,138,19
INV0000037,2025-12-24,STOR0053,PROD00215,32,28,141,50
INV0000038,2025-12-24,STOR0026,PROD00223,291,5,180,115
INV0000039,2025-12-13,STOR0008,PROD00177,322,47,139,46
INV0000040,2025-12-30,STOR0051,PROD00109,525,17,150,111
INV0000041,2025-12-16,STOR0039,PROD00042,582,16,89,44
INV0000042,2025-12-11,STOR0015,PROD00307,390,50,41,74
INV0000043,2025-12-27,STOR0006,PROD00496,350,8,125,110
INV0000044,2025-12-26,STOR0032,PROD00276,4,4,103,95
INV0000045,2025-12-30,STOR0058,PROD00369,784,24,86,78
INV0000046,2025-12-06,STOR0005,PROD00281,442,41,158,88
INV0000047,2025-12-18,STOR0051,PROD00364,45,20,194,58
INV0000048,2025-12-29,STOR0016,PROD00301,481,44,26,105
INV0000049,2026-01-01,STOR0039,PROD00440,363,2,187,24
INV0000050,2025-12-14,STOR0052,PROD00085,410,13,64,35
