order_line_id,order_id,line_number,product_id,quantity,unit_price,discount_amount,line_total
LINE00000001,ORD0000001,1,PROD00442,6,977.87,0.0,5867.22
LINE00000002,ORD0000001,2,PROD00264,3,139.1,20.86,396.44
LINE00000003,ORD0000001,3,PROD00301,5,122.22,0.0,611.1
LINE00000004,ORD0000002,1,PROD00411,4,138.13,0.0,552.52
LINE00000005,ORD0000002,2,PROD00446,3,1167.01,700.21,2800.82
LINE00000006,ORD0000002,3,PROD00009,3,1190.0,357.0,3213.0
LINE00000007,ORD0000003,1,PROD00096,6,939.18,1127.02,4508.06
LINE00000008,ORD0000004,1,PROD00392,3,201.05,0.0,603.15
LINE00000009,ORD0000004,2,PROD00064,1,600.78,120.16,480.62
LINE00000010,ORD0000004,3,PROD00425,5,961.86,961.86,3847.44
LINE00000011,ORD0000004,4,PROD00123,2,1022.96,0.0,2045.92
LINE00000012,ORD0000004,5,PROD00108,4,593.17,0.0,2372.68
LINE00000013,ORD0000005,1,PROD00430,1,272.88,0.0,272.88
LINE00000014,ORD0000005,2,PROD00294,3,887.94,133.19,2530.63
LINE00000015,ORD0000005,3,PROD00047,2,401.85,160.74,642.96
LINE00000016,ORD0000006,1,PROD00267,2,271.44,0.0,542.88
LINE00000017,ORD0000006,2,PROD00084,1,283.01,28.3,254.71
LINE00000018,ORD0000006,3,PROD00450,2,61.02,24.41,97.63
LINE00000019,ORD0000006,4,PROD00490,3,1028.72,308.62,2777.54
LINE00000020,ORD0000007,1,PROD00148,5,505.05,0.0,2525.25
LINE00000021,ORD0000007,2,PROD00198,4,214.94,0.0,859.76
LINE00000022,ORD0000007,3,PROD00214,4,15.39,0.0,61.56
LINE00000023,ORD0000007,4,PROD00484,2,57.05,0.0,114.1
LINE00000024,ORD0000008,1,PROD00430,2,325.05,32.51,617.59
LINE00000025,ORD0000009,1,PROD00326,4,344.95,275.96,1103.84
LINE00000026,ORD0000009,2,PROD00200,3,803.04,0.0,2409.12
LINE00000027,ORD0000009,3,PROD00060,2,994.62,0.0,1989.24
LINE00000028,ORD0000009,4,PROD00171,6,298.06,357.67,1430.69
LINE00000029,ORD0000010,1,PROD00123,6,1025.15,0.0,6150.9
LINE00000030,ORD0000011,1,PROD00278,3,1109.2,166.38,3161.22
LINE00000031,ORD0000011,2,PROD00168,6,1174.69,704.81,6343.33
LINE00000032,ORD0000011,3,PROD00043,1,709.93,70.99,638.94
LINE00000033,ORD0000012,1,PROD00477,3,612.94,183.88,1654.94
LINE00000034,ORD0000012,2,PROD00343,5,311.61,0.0,1558.05
LINE00000035,ORD0000012,3,PROD00305,6,702.82,843.38,3373.54
