order_id,customer_id,store_id,channel,order_ts,order_status,fulfilment_type,shipping_fee
ORD0000001,CUST000926,STOR0019,STORE,2025-09-08 05:57:00,COMPLETED,EXPRESS,15.03
ORD0000002,CUST000318,STOR0054,ONLINE,2025-08-23 03:43:00,COMPLETED,EXPRESS,12.16
ORD0000003,CUST000362,STOR0050,B2B,2025-05-07 12:49:00,COMPLETED,EXPRESS,4.57
ORD0000004,CUST001011,STOR0015,B2B,2025-08-01 21:37:00,COMPLETED,STANDARD,4.11
ORD0000005,CUST001153,STOR0002,B2B,2025-06-08 23:38:00,CANCELLED,EXPRESS,19.86
ORD0000006,CUST001076,STOR0058,MARKETPLACE,2025-08-24 00:45:00,PENDING,STANDARD,10.47
ORD0000007,CUST001142,STOR0045,B2B,2025-05-14 08:27:00,COMPLETED,STANDARD,2.18
ORD0000008,CUST000973,STOR0026,STORE,2025-12-16 21:22:00,COMPLETED,STANDARD,0.6
ORD0000009,CUST000403,STOR0029,MARKETPLACE,2025-05-28 18:11:00,PENDING,EXPRESS,11.95
ORD0000010,CUST001193,STOR0027,ONLINE,2025-11-24 21:11:00,PENDING,STANDARD,5.81
ORD0000011,CUST000801,STOR0001,MARKETPLACE,2025-06-12 09:08:00,COMPLETED,CLICK_COLLECT,19.7
ORD0000012,CUST000545,STOR0038,ONLINE,2025-06-03 16:42:00,COMPLETED,STANDARD,7.99
ORD0000013,CUST000438,STOR0013,B2B,2025-07-07 15:51:00,CANCELLED,EXPRESS,5.35
ORD0000014,CUST001109,STOR0055,ONLINE,2025-06-19 12:35:00,COMPLETED,CLICK_COLLECT,3.17
ORD0000015,CUST000140,STOR0031,ONLINE,2025-09-13 04:55:00,PENDING,STANDARD,6.18
ORD0000016,CUST000741,STOR0015,MARKETPLACE,2025-11-14 13:53:00,CANCELLED,STANDARD,18.81
ORD0000017,CUST000809,STOR0002,STORE,2025-05-16 10:49:00,COMPLETED,EXPRESS,11.25
ORD0000018,CUST000261,STOR0031,B2B,2025-12-06 07:47:00,COMPLETED,STANDARD,14.97
ORD0000019,CUST000154,STOR0028,ONLINE,2025-07-18 15:49:00,CANCELLED,STANDARD,14.04
