return_id,order_id,product_id,qty_returned,return_reason,return_status,refund_amount,returned_ts
RET000001,ORD0000784,PROD00023,2,CHANGE_OF_MIND,APPROVED,626.65,2025-12-18 03:08:00
RET000002,ORD0002257,PROD00194,1,SIZE_ISSUE,APPROVED,30.19,2025-10-20 03:27:00
RET000003,ORD0000253,PROD00235,3,CHANGE_OF_MIND,APPROVED,282.18,2025-10-17 06:30:00
RET000004,ORD0003492,PROD00072,1,LATE_DELIVERY,APPROVED,540.0,2025-08-06 05:26:00
RET000005,ORD0004948,PROD00297,2,CHANGE_OF_MIND,PENDING,678.24,2025-12-10 07:45:00
RET000006,ORD0002095,PROD00020,3,LATE_DELIVERY,APPROVED,610.23,2025-11-23 19:43:00
RET000007,ORD0002688,PROD00056,2,CHANGE_OF_MIND,PENDING,280.54,2025-08-16 11:02:00
RET000008,ORD0000372,PROD00459,3,WRONG_ITEM,APPROVED,442.57,2025-10-20 18:24:00
RET000009,ORD0001892,PROD00029,3,DAMAGED_IN_TRANSIT,APPROVED,422.2,2025-07-21 09:14:00
RET000010,ORD0002160,PROD00310,2,DAMAGED_IN_TRANSIT,APPROVED,33.11,2025-12-04 22:56:00
RET000011,ORD0003756,PROD00473,2,CHANGE_OF_MIND,PENDING,109.72,2025-10-14 11:58:00
RET000012,ORD0001914,PROD00040,3,LATE_DELIVERY,REJECTED,686.69,2025-07-10 09:19:00
RET000013,ORD0000448,PROD00492,1,LATE_DELIVERY,APPROVED,197.02,2025-06-22 13:48:00
RET000014,ORD0002372,PROD00465,1,LATE_DELIVERY,PENDING,819.93,2025-11-12 16:54:00
RET000015,ORD0003879,PROD00398,2,SIZE_ISSUE,REJECTED,825.01,2025-10-19 03:48:00
RET000016,ORD0004298,PROD00048,2,LATE_DELIVERY,APPROVED,254.73,2025-09-30 19:13:00
RET000017,ORD0002856,PROD00424,1,FAULTY,APPROVED,737.41,2025-07-04 06:16:00
RET000018,ORD0000115,PROD00439,3,LATE_DELIVERY,APPROVED,487.33,2025-11-20 20:44:00
RET000019,ORD0003363,PROD00061,1,WRONG_ITEM,APPROVED,269.04,2025-07-02 02:27:00
RET000020,ORD0001819,PROD00284,3,WRONG_ITEM,PENDING,407.98,2025-10-19 03:41:00
RET000021,ORD0000179,PROD00208,2,WRONG_ITEM,APPROVED,886.74,2025-11-01 00:37:00
RET000022,ORD0001823,PROD00261,1,SIZE_ISSUE,APPROVED,486.39,2025-09-05 20:19:00
RET000023,ORD0003594,PROD00056,3,FAULTY,APPROVED,814.65,2025-06-17 10:08:00
RET000024,ORD0000285,PROD00253,1,WRONG_ITEM,APPROVED,21.58,2025-09-06 23:22:00
RET000025,ORD0002429,PROD00469,1,LATE_DELIVERY,APPROVED,690.11,2025-10-20 00:52:00
RET000026,ORD0000697,PROD00179,3,DAMAGED_IN_TRANSIT,APPROVED,211.3,2025-11-16 16:54:00
RET000027,ORD0003867,PROD00311,2,FAULTY,REJECTED,833.01,2025-11-27 18:01:00
RET000028,ORD0002410,PROD00405,3,LATE_DELIVERY,APPROVED,721.39,2026-01-01 11:21:00
RET000029,ORD0002391,PROD00430,1,WRONG_ITEM,APPROVED,125.79,2025-06-17 06:14:00
RET000030,ORD0000414,PROD00050,2,WRONG_ITEM,PENDING,829.07,2025-08-02 02:28:00
RET000031,ORD0000869,PROD00427,1,WRONG_ITEM,APPROVED,876.12,2025-12-24 17:50:00
RET000032,ORD0000931,PROD00340,1,DAMAGED_IN_TRANSIT,APPROVED,329.53,2025-08-06 05:50:00
RET000033,ORD0001159,PROD00072,2,DAMAGED_IN_TRANSIT,PENDING,605.28,2025-07-21 18:20:00
RET000034,ORD0002248,PROD00119,2,CHANGE_OF_MIND,REJECTED,154.47,2025-11-05 17:10:00
RET000035,ORD0002559,PROD00173,3,FAULTY,APPROVED,542.86,2025-09-19 01:52:00
RET000036,ORD0004825,PROD00002,1,CHANGE_OF_MIND,PENDING,706.18,2025-09-19 00:38:00
RET000037,ORD0003494,PROD00255,2,WRONG_ITEM,PENDING,83.25,2025-12-31 15:11:00
RET000038,ORD0002136,PROD00314,3,FAULTY,APPROVED,849.94,2025-06-19 03:35:00
RET000039,ORD0004740,PROD00380,1,SIZE_ISSUE,APPROVED,321.89,2025-07-31 08:56:00
RET000040,ORD0001814,PROD00108,1,WRONG_ITEM,APPROVED,615.51,2025-10-05 18:35:00
RET000041,ORD0004080,PROD00367,1,DAMAGED_IN_TRANSIT,REJECTED,360.83,2025-09-09 04:49:00
RET000042,ORD0004651,PROD00496,2,DAMAGED_IN_TRANSIT,APPROVED,336.2,2025-08-31 00:46:00
RET000043,ORD0001009,PROD00450,3,FAULTY,REJECTED,749.25,2025-07-09 17:52:00
RET000044,ORD0003374,PROD00211,2,DAMAGED_IN_TRANSIT,APPROVED,770.97,2025-08-21 20:06:00
RET000045,ORD0001300,PROD00367,3,FAULTY,APPROVED,788.8,2025-10-02 11:42:00
RET000046,ORD0004863,PROD00314,3,DAMAGED_IN_TRANSIT,APPROVED,696.74,2025-11-18 17:50:00
RET000047,ORD0002980,PROD00195,1,SIZE_ISSUE,APPROVED,627.63,2025-11-12 19:34:00
RET000048,ORD0003804,PROD00297,1,LATE_DELIVERY,REJECTED,312.29,2025-06-27 02:35:00
RET000049,ORD0000730,PROD00259,2,CHANGE_OF_MIND,PENDING,130.39,2025-11-21 18:26:00
RET000050,ORD0002139,PROD00037,1,CHANGE_OF_MIND,APPROVED,200.29,2025-11-23 02:08:00
RET000051,ORD0002846,PROD00203,1,WRONG_ITEM,REJECTED,660.07,2025-11-18 17:10:00
RET000052,ORD0000983,PROD00210,3,FAULTY,APPROVED,583.12,2025-11-19 02:35:00
RET000053,ORD0003946,PROD00481,3,LATE_DELIVERY,APPROVED,274.91,2025-07-01 19:17:00
RET000054,ORD0004035,PROD00491,3,FAULTY,APPROVED,254.59,2025-07-08 04:25:00
RET000055,ORD0004197,PROD00491,2,CHANGE_OF_MIND,REJECTED,474.71,2025-12-01 04:06:00
RET000056,ORD0001364,PROD00328,1,FAULTY,PENDING,835.42,2025-12-03 06:11:00
RET000057,ORD0004052,PROD00460,2,DAMAGED_IN_TRANSIT,APPROVED,714.56,2025-10-02 06:44:00
RET000058,ORD0000247,PROD00177,1,SIZE_ISSUE,APPROVED,259.99,2025-12-30 22:30:00
RET000059,ORD0001666,PROD00206,2,LATE_DELIVERY,APPROVED,471.83,2025-09-02 23:22:00
RET000060,ORD0004579,PROD00416,3,LATE_DELIVERY,REJECTED,705.56,2025-12-10 14:35:00
RET000061,ORD0004359,PROD00255,1,LATE_DELIVERY,APPROVED,174.93,2025-07-12 06:01:00
RET000062,ORD0001717,PROD00213,3,CHANGE_OF_MIND,APPROVED,608.19,2025-10-11 12:58:00
RET000063,ORD0000966,PROD00385,3,CHANGE_OF_MIND,APPROVED,604.84,2025-10-13 05:21:00
RET000064,ORD0000466,PROD00433,1,CHANGE_OF_MIND,PENDING,517.74,2025-12-13 14:52:00
RET000065,ORD0003865,PROD00292,2,DAMAGED_IN_TRANSIT,APPROVED,241.49,2025-11-12 07:58:00
RET000066,ORD0004823,PROD00493,2,WRONG_ITEM,APPROVED,177.8,2025-08-28 21:34:00
RET000067,ORD0000704,PROD00370,2,WRONG_ITEM,APPROVED,812.17,2025-08-24 06:24:00
RET000068,ORD0001424,PROD00475,3,DAMAGED_IN_TRANSIT,APPROVED,524.0,2025-07-27 16:35:00
RET000069,ORD0001955,PROD00324,1,LATE_DELIVERY,PENDING,673.62,2025-12-07 20:29:00
RET000070,ORD0004504,PROD00169,2,DAMAGED_IN_TRANSIT,PENDING,785.56,2025-11-24 19:28:00
RET000071,ORD0002667,PROD00164,3,LATE_DELIVERY,APPROVED,580.58,2025-12-14 20:42:00
RET000072,ORD0000041,PROD00066,2,SIZE_ISSUE,APPROVED,505.44,2025-09-10 10:53:00
RET000073,ORD0000352,PROD00001,2,LATE_DELIVERY,APPROVED,97.75,2025-11-30 21:22:00
RET000074,ORD0000042,PROD00030,3,LATE_DELIVERY,PENDING,851.43,2025-10-06 05:01:00
RET000075,ORD0001534,PROD00385,3,SIZE_ISSUE,APPROVED,444.86,2025-12-22 21:22:00
RET000076,ORD0002308,PROD00440,1,FAULTY,REJECTED,446.46,2025-09-06 18:42:00
RET000077,ORD0004025,PROD00388,1,SIZE_ISSUE,PENDING,572.96,2025-07-22 17:34:00
RET000078,ORD0002991,PROD00303,2,SIZE_ISSUE,PENDING,374.76,2025-10-17 02:55:00
RET000079,ORD0004344,PROD00351,2,CHANGE_OF_MIND,APPROVED,149.41,2025-10-28 19:45:00
RET000080,ORD0004099,PROD00399,2,SIZE_ISSUE,REJECTED,643.93,2025-09-01 13:19:00
RET000081,ORD0003566,PROD00139,1,SIZE_ISSUE,REJECTED,57.13,2025-11-29 13:42:00
RET000082,ORD0001627,PROD00461,2,LATE_DELIVERY,PENDING,514.02,2025-08-10 08:43:00
RET000083,ORD0002562,PROD00233,1,CHANGE_OF_MIND,PENDING,334.99,2025-08-06 15:29:00
RET000084,ORD0004228,PROD00486,3,SIZE_ISSUE,APPROVED,232.68,2025-10-29 12:20:00
