store_id,store_name,format,city,state,floor_area_sqm,opened_date,status
STOR0001,Canberra Central,EXPRESS,Canberra,ACT,758.0,2023-03-05,OPEN
STOR0002,Geelong Central,EXPRESS,Geelong,VIC,5962.0,2024-02-07,REFURB
STOR0003,Geelong Outlet,STANDARD,Geelong,VIC,2124.0,2019-04-22,OPEN
STOR0004,Adelaide Outlet,DARK_STORE,Adelaide,SA,2866.0,2022-01-06,OPEN
STOR0005,Darwin Central,EXPRESS,Darwin,NT,3824.0,2024-08-16,REFURB
STOR0006,Adelaide Outlet,FLAGSHIP,Adelaide,SA,3618.0,2018-04-03,OPEN
STOR0007,Newcastle Outlet,STANDARD,Newcastle,NSW,4310.0,2018-04-29,OPEN
STOR0008,Adelaide East,STANDARD,Adelaide,SA,2546.0,2023-10-26,REFURB
STOR0009,Wollongong West,STANDARD,Wollongong,NSW,3503.0,2025-06-04,OPEN
STOR0010,Sydney East,STANDARD,Sydney,NSW,5843.0,2025-10-11,OPEN
STOR0011,Darwin North,FLAGSHIP,Darwin,NT,676.0,2022-01-24,OPEN
STOR0012,Adelaide Central,STANDARD,Adelaide,SA,4424.0,2021-06-30,OPEN
STOR0013,Hobart East,FLAGSHIP,Hobart,TAS,1351.0,2024-07-02,OPEN
STOR0014,Canberra Outlet,EXPRESS,Canberra,ACT,1650.0,2025-02-11,OPEN
STOR0015,Canberra Outlet,FLAGSHIP,Canberra,ACT,2937.0,2022-06-05,OPEN
STOR0016,Darwin South,FLAGSHIP,Darwin,NT,4222.0,2022-03-22,REFURB
STOR0017,Brisbane Outlet,STANDARD,Brisbane,QLD,830.0,2019-01-26,REFURB
STOR0018,Sydney North,EXPRESS,Sydney,NSW,1421.0,2020-08-30,REFURB
STOR0019,Adelaide West,EXPRESS,Adelaide,SA,2137.0,2024-03-07,OPEN
STOR0020,Canberra North,FLAGSHIP,Canberra,ACT,3784.0,2023-05-16,OPEN
STOR0021,Darwin East,FLAGSHIP,Darwin,NT,1080.0,2018-03-19,OPEN
STOR0022,Wollongong Central,STANDARD,Wollongong,NSW,3059.0,2021-12-12,OPEN
STOR0023,Darwin West,FLAGSHIP,Darwin,NT,4444.0,2023-06-08,OPEN
STOR0024,Wollongong South,FLAGSHIP,Wollongong,NSW,3870.0,2019-07-02,OPEN
STOR0025,Brisbane South,DARK_STORE,Brisbane,QLD,1624.0,2025-01-04,REFURB
STOR0026,Brisbane South,FLAGSHIP,Brisbane,QLD,1774.0,2024-10-27,REFURB
STOR0027,Melbourne East,FLAGSHIP,Melbourne,VIC,5545.0,2024-07-14,OPEN
STOR0028,Brisbane West,EXPRESS,Brisbane,QLD,746.0,2025-06-19,OPEN
STOR0029,Newcastle Outlet,STANDARD,Newcastle,NSW,4817.0,2021-05-24,OPEN
STOR0030,Sydney Outlet,STANDARD,Sydney,NSW,436.0,2017-10-29,REFURB
